date,stock_id,stock_name
2025-01-13,4571,鈞興-KY
2025-01-13,4576,大銀微系統
2025-01-13,4583,台灣精銳
2025-01-13,4912,聯德控股-KY
2025-01-13,4919,新唐
2025-01-13,4931,新盛力
2025-01-13,4968,立積
2025-01-13,4974,亞泰
2025-01-13,4977,眾達-KY
2025-01-13,4979,華星光
2025-01-13,4991,環宇-KY
2025-01-13,5243,乙盛-KY
2025-01-13,5309,系統電
2025-01-13,5347,世界
2025-01-13,5371,中光電
2025-01-13,5388,中磊
2025-01-13,5392,能率
2025-01-13,5439,高技
2025-01-13,5474,
2025-01-13,5522,遠雄
2025-01-13,5536,聖暉*
2025-01-13,6104,創惟
2025-01-13,6187,萬潤
2025-01-13,6191,精成科
2025-01-13,6214,精誠
2025-01-13,6215,和椿
2025-01-13,6223,旺矽
2025-01-13,6245,
2025-01-13,6285,啟碁
2025-01-13,6415,矽力*-KY
2025-01-13,6438,迅得
2025-01-13,6442,光聖
2025-01-13,6446,藥華藥
2025-01-13,6451,訊芯-KY
2025-01-13,6531,愛普*
2025-01-13,6546,正基
2025-01-13,6558,興能高
2025-01-13,6683,雍智科技
2025-01-13,6689,
2025-01-13,6706,惠特
2025-01-13,6757,台灣虎航
2025-01-13,6781,AES-KY
2025-01-13,6789,采鈺
2025-01-13,6805,富世達
2025-01-13,6919,康霈*
2025-01-13,6937,天虹
2025-01-13,8028,昇陽半導體
2025-01-13,8033,雷虎
2025-01-13,8054,
2025-01-13,8086,宏捷科
2025-01-13,8111,立碁
2025-01-13,8234,新漢
2025-01-13,8249,菱光
2025-01-13,8996,
2025-01-13,9105,
2025-01-13,9941,裕融
2025-01-14,1536,和大
2025-01-14,1597,直得
2025-01-14,1815,富喬
2025-01-14,2049,上銀
2025-01-14,2233,宇隆
2025-01-14,2312,金寶
2025-01-14,2328,
2025-01-14,2332,友訊
2025-01-14,2345,智邦
2025-01-14,2348,海悅
2025-01-14,2359,所羅門
2025-01-14,2365,昆盈
2025-01-14,2371,大同
2025-01-14,2374,佳能
2025-01-14,2392,正崴
2025-01-14,2486,一詮
2025-01-14,2498,宏達電
2025-01-14,3019,亞光
2025-01-14,3025,星通
2025-01-14,3029,零壹
2025-01-14,3032,偉訓
2025-01-14,3041,揚智
2025-01-14,3059,華晶科
2025-01-14,3078,僑威
2025-01-14,3081,聯亞
2025-01-14,3088,艾訊
2025-01-14,3147,大綜
2025-01-14,3163,波若威
2025-01-14,3167,大量
2025-01-14,3189,景碩
2025-01-14,3211,順達
2025-01-14,3230,錦明
2025-01-14,3264,欣銓
2025-01-14,3323,加百裕
