date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-12-11,4977,眾達-KY,141.0,710917812,3000000,5048555473,-
2025-12-12,5498,凱崴,28.7,607816170,2500000,1629198028,-
2025-12-15,2344,華邦電,74.6,15250595759,50000000,39822052994,-
2025-12-15,8110,華東,54.6,2917988219,12000000,17700204279,-
2025-12-15,6691,洋基工程,613.0,537542133,2000000,2265365611,-
2025-12-17,5498,凱崴,33.8,703595741,3000000,3683523057,-
2025-12-18,3260,威剛,196.5,2219830788,9000000,5296457288,-
2025-12-18,3211,順達,304.5,1829211401,7500000,5117900117,-
2025-12-18,2486,一詮,98.0,1435085408,5500000,2539455499,-
2025-12-18,6488,環球晶,388.0,748436369,3000000,3267780402,-
2025-12-22,8996,,512.0,1486356806,6000000,608632452,-
2025-12-22,4991,環宇-KY,192.5,977124962,4000000,3958395432,-
2025-12-23,6239,力成,172.0,1098683458,4500000,3846292658,-
2025-12-24,8033,雷虎,149.0,1091747268,4500000,3588929797,-
2025-12-26,8043,蜜望實,88.4,819173780,3500000,4274032380,-
2025-12-29,6257,矽格,109.5,855688803,3500000,3176018447,-
2025-12-29,3006,晶豪科,105.0,630203140,2500000,5926860410,-
2025-12-29,8422,可寧衛*,26.65,547713791,2000000,1663679387,-
2025-12-30,1815,富喬,98.8,5722292193,23000000,16994981190,-
2025-12-30,8074,鉅橡,53.3,577508305,2500000,3055285393,-
2025-12-31,2451,創見,196.0,1168032222,4500000,6195337519,-
2026-01-02,8422,可寧衛*,31.6,895928088,3500000,6155937434,-
2026-01-05,2449,京元電子,267.5,5453867660,22000000,15211858904,-
2026-01-06,3189,景碩,168.0,3078132489,12000000,7657201877,-
2026-01-06,3491,昇達科,766.0,1274935912,5000000,2635379038,-
2026-01-07,6488,環球晶,433.0,1214699714,5000000,6506987577,-
2026-01-07,5483,中美晶,118.5,592108725,2500000,2593445815,-
2026-01-08,3189,景碩,175.0,2978625254,12000000,11681189691,-
2026-01-08,2360,致茂,922.0,2604814941,10000000,4935922049,-
2026-01-08,8112,至上,84.5,1974578181,8000000,9431008601,-
2026-01-08,8271,宇瞻,119.5,989596432,4000000,5086445885,-
2026-01-08,4764,雙鍵,131.5,519077012,2000000,1061252730,-
2026-01-09,3105,穩懋,197.5,4307128726,17000000,8744588939,-
2026-01-09,3715,定穎投控,127.0,3496784920,14000000,8174599165,-
2026-01-09,5347,世界,109.0,898408957,3500000,11068007700,-
2026-01-12,3105,穩懋,216.5,4492624164,18000000,12910063793,-
2026-01-13,6282,康舒,48.75,1785094877,7000000,7577062656,-
2026-01-14,8110,華東,78.0,3658093787,15000000,11013355110,-
2026-01-14,2379,瑞昱,576.0,1801398513,7000000,9699273064,-
2026-01-14,6257,矽格,127.5,1673436299,6500000,4370529929,-
2026-01-14,6443,元晶,37.5,1462734399,6000000,7660764463,-
2026-01-14,4958,臻鼎-KY,164.0,1273978949,5000000,7968104609,-
2026-01-14,8088,品安,54.8,638685753,2500000,2757086474,-
2026-01-15,5347,世界,124.0,2545006743,10000000,9056691601,-
2026-01-15,6488,環球晶,516.0,2504786679,10000000,7935883783,-
2026-01-15,6163,華電網,72.7,790252138,3000000,3638197196,-
2026-01-15,6127,九豪,42.0,678544876,2500000,1863108991,-
2026-01-15,3532,台勝科,136.0,546990490,2000000,2218252937,-
2026-01-16,2367,燿華,37.1,1553908489,6000000,8205855207,-
2026-01-16,8043,蜜望實,100.5,1366771384,5500000,4712554139,-
2026-01-19,2441,超豐,102.0,1481442649,6000000,2878878640,-
2026-01-19,6485,點序,116.0,527033824,2000000,1777913207,-
2026-01-20,1303,南亞,79.4,7441605496,30000000,28208994024,-
2026-01-20,8422,可寧衛*,45.0,3529222243,14000000,21277549563,-
2026-01-21,2303,聯電,67.8,7906781131,32000000,31412667442,-
2026-01-21,8046,南電,341.5,3526617551,14000000,20254225006,-
2026-01-21,3535,晶彩科,115.5,831296207,3500000,2413010089,-
2026-01-22,2367,燿華,40.8,2269827472,9000000,6933203095,-
2026-01-22,6415,矽力*-KY,268.5,1751156176,7000000,7103276354,-
2026-01-22,3081,聯亞,770.0,1406086844,5500000,9487515779,-
2026-01-22,3707,漢磊,67.1,544914101,2000000,4892196853,-
2026-01-23,2408,南亞科,266.5,15052718282,50000000,6083794449,-
2026-01-23,2313,華通,155.5,9493779806,38000000,15124207287,-
2026-01-23,6239,力成,257.5,4950753573,20000000,7016242038,-
2026-01-23,3260,威剛,296.5,3463860574,14000000,1244793514,-
2026-01-23,3006,晶豪科,147.5,2145586403,8500000,470677246,-
2026-01-23,5371,中光電,105.5,1201990474,5000000,7161059403,-
2026-01-23,4931,新盛力,166.0,686303221,2500000,2627906358,-
2026-01-23,5425,台半,73.0,603946357,2500000,1961271786,-
2026-01-26,3260,威剛,314.5,3358277962,13000000,10020115231,-
2026-01-26,3006,晶豪科,142.0,2100974628,8500000,8966320982,-
2026-01-27,3532,台勝科,155.0,1041427446,4000000,2114816670,-
2026-01-27,2049,上銀,246.5,899811617,3500000,3135824008,-
2026-01-27,2374,佳能,89.4,847537766,3500000,3714213837,-
2026-01-28,6446,藥華藥,722.0,1927136611,7500000,10253402812,-
2026-01-28,3036,文曄,157.5,1045258805,4000000,4016277176,-
2026-01-28,8074,鉅橡,69.9,1019767156,4000000,1720563899,-
2026-01-28,6472,,583.0,585349374,2500000,2761363641,-
2026-01-29,3105,穩懋,258.0,6495610224,26000000,9293818207,-
2026-01-29,3211,順達,341.0,1695551094,7000000,5508830989,-
2026-01-29,1326,台化,44.1,957632684,4000000,4164631129,-
2026-01-29,5314,世紀*,103.0,610663154,2500000,1740041643,-
2026-01-30,6285,啟碁,176.5,2944789631,12000000,9834903461,-
2026-01-30,6265,方土昶,49.6,613825131,2500000,1860559737,-
2026-01-30,2009,第一銅,54.9,594285624,2500000,2018687005,-
2026-01-30,8096,擎亞,69.4,532678371,2000000,4428305671,-
2026-02-02,2233,宇隆,289.5,563499726,2500000,3265363936,-
