date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount
2025-07-22,5284,jpp-KY,228.0,527306185.9,2000000,1002886774.0
2025-07-22,6442,光聖,541.0,1017185248.85,4000000,6456230288.0
2025-07-22,6462,神盾,140.0,720617355.25,3000000,2170333578.0
2025-07-23,6191,精成科,104.5,3345947222.2,13000000,7270240014.0
2025-07-24,1303,南亞,31.65,587611198.25,2500000,1400856839.0
2025-07-24,2316,楠梓電,71.3,621316955.2,2500000,1942168044.0
2025-07-24,3032,偉訓,109.0,806407385.65,3000000,1552711226.0
2025-07-25,5439,高技,248.5,2302285486.4,9000000,3978951643.0
2025-07-28,2455,全新,146.5,911994831.1,3500000,4975552758.0
2025-07-29,1303,南亞,37.0,754312997.5,3000000,5635030477.0
2025-07-29,8021,尖點,57.7,1478791228.35,6000000,2578213361.0
2025-07-29,8358,金居,107.0,3658184765.65,15000000,5391505799.0
2025-07-30,8033,雷虎,86.7,950205325.45,4000000,4695701674.0
2025-07-31,1301,台塑,42.65,910384311.15,3500000,2676362648.0
2025-07-31,5371,中光電,79.0,521926550.8,2000000,3192365771.0
2025-07-31,8033,雷虎,95.3,1182449367.35,4500000,10896337893.0
2025-07-31,8234,新漢,104.0,737970461.75,3000000,2462570851.0
2025-08-01,1802,台玻,23.9,1188247036.65,5000000,4012028722.0
2025-08-01,1815,富喬,54.6,5810705753.2,23000000,11000083363.0
2025-08-01,3081,聯亞,410.0,1398174477.9,5500000,2877674731.0
2025-08-01,6531,愛普*,330.5,768607929.4,3000000,3156102593.0
2025-08-01,8021,尖點,63.2,1779689583.3,7000000,2894896326.0
2025-08-04,2360,致茂,473.5,1084026523.85,4500000,2357967020.0
2025-08-04,3167,大量,187.0,4738899764.55,19000000,7506489560.0
2025-08-04,4916,事欣科,60.5,634309358.25,2500000,2873963559.0
2025-08-04,8028,昇陽半導體,140.5,562356555.6,2000000,1961616071.0
2025-08-05,3019,亞光,151.0,788856909.1,3000000,7775965305.0
2025-08-05,8028,昇陽半導體,154.5,591533237.55,2500000,5718283417.0
2025-08-06,2301,光寶科,133.5,1539762220.1,6000000,7813446556.0
2025-08-06,2374,佳能,67.7,884617509.1,3500000,2562482448.0
2025-08-07,3715,定穎投控,92.4,2903206148.8,12000000,4745572921.0
2025-08-07,4931,新盛力,128.5,3217599083.05,13000000,5340368272.0
2025-08-07,4991,環宇-KY,168.5,2792209611.05,11000000,4330944428.0
2025-08-08,2404,漢唐,910.0,2034979015.55,8000000,2253774341.0
2025-08-08,4931,新盛力,141.0,3258848314.45,13000000,10226147306.0
2025-08-08,4971,IET-KY,171.5,1296820850.7,5000000,1761315830.0
2025-08-08,5536,聖暉*,543.0,544103101.05,2000000,723173924.0
2025-08-08,6196,帆宣,220.5,542179904.95,2000000,933552413.0
2025-08-08,6488,環球晶,375.0,1118843240.2,4500000,1477312875.0
2025-08-08,6667,信紘科,275.0,576919733.0,2500000,1472025370.0
2025-08-08,8021,尖點,78.1,2480379253.15,10000000,3920832309.0
2025-08-11,2368,金像電,409.0,3734070672.7,15000000,7400928057.0
2025-08-11,2374,佳能,74.1,1416786833.05,5500000,5592489372.0
2025-08-11,2449,京元電子,133.5,3039770741.6,12000000,13032622745.0
2025-08-11,6215,和椿,133.5,1858876255.5,7500000,4582307449.0
2025-08-11,8210,勤誠,583.0,929427787.65,3500000,3658642950.0
2025-08-11,8358,金居,125.0,6425993069.4,26000000,4958812609.0
2025-08-12,1815,富喬,61.4,8143063876.8,33000000,9132233593.0
2025-08-12,2354,鴻準,76.3,956133677.05,4000000,6828984560.0
2025-08-12,2630,亞航,51.7,520566803.2,2000000,918432544.0
2025-08-12,2645,長榮航太,166.0,953269284.9,4000000,3428817648.0
2025-08-12,3689,湧德,111.5,501617353.6,2000000,2024123059.0
2025-08-12,4958,臻鼎-KY,141.5,1362546327.75,5500000,4510854729.0
2025-08-12,6213,聯茂,99.0,1699053241.45,7000000,2828526202.0
2025-08-12,8996,,339.5,1230429970.3,5000000,4275109512.0
2025-08-13,1802,台玻,27.15,2299633295.2,9000000,7205188581.0
2025-08-13,1815,富喬,67.5,8478872752.65,34000000,19253342862.0
2025-08-13,2630,亞航,56.8,565516243.6,2500000,3194731038.0
2025-08-13,3163,波若威,182.0,833809082.55,3500000,2779292550.0
2025-08-14,1802,台玻,29.85,2612519417.35,10000000,7652298864.0
2025-08-14,3019,亞光,168.5,2303404579.25,9000000,14299334684.0
2025-08-14,3305,昇貿,84.3,715711059.15,3000000,841479472.0
2025-08-14,4931,新盛力,152.0,4014230767.9,16000000,5818086837.0
2025-08-14,5498,凱崴,24.55,515062348.05,2000000,2043638773.0
2025-08-14,6215,和椿,156.5,2543652896.25,10000000,3317077601.0
2025-08-14,8234,新漢,114.5,1613936596.5,6500000,3245244347.0
2025-08-15,2402,毅嘉,52.5,502498428.8,2000000,3120749213.0
2025-08-15,3163,波若威,201.0,1129633492.7,4500000,7615631812.0
2025-08-15,3305,昇貿,92.7,756368217.7,3000000,4147219911.0
2025-08-15,3363,上詮,333.0,1582119736.85,6500000,5076051818.0
2025-08-15,4979,華星光,211.0,2737387913.4,11000000,11556398777.0
2025-08-15,8358,金居,153.0,7658833773.95,31000000,4346805799.0
2025-08-18,1802,台玻,34.0,3367670339.85,13000000,7770317809.0
2025-08-18,3211,順達,284.5,2001324587.9,8000000,3278559233.0
2025-08-18,3706,神達,92.5,8304874139.2,33000000,18530226005.0
2025-08-18,4916,事欣科,62.7,1659666592.6,6500000,1805085962.0
2025-08-18,5536,聖暉*,686.0,552584814.4,2000000,1217487167.0
2025-08-18,6213,聯茂,117.5,2334499259.05,9500000,8381825530.0
2025-08-18,6442,光聖,797.0,2705619642.7,11000000,6576555734.0
2025-08-18,8358,金居,168.0,7558528219.65,30000000,10264951487.0
2025-08-19,1802,台玻,37.4,3732024887.5,15000000,7523226114.0
2025-08-19,2316,楠梓電,102.0,1609924455.5,6500000,2794120533.0
2025-08-19,3081,聯亞,497.0,1134722334.3,4500000,4435951110.0
2025-08-19,3305,昇貿,97.0,1184836757.05,4500000,2509002902.0
2025-08-19,3715,定穎投控,110.5,4459611811.9,18000000,3739739925.0
2025-08-19,4916,事欣科,68.9,1746945746.2,7000000,4402525912.0
2025-08-19,5371,中光電,100.5,2546134604.8,10000000,1677873321.0
2025-08-19,5439,高技,313.5,2509214142.3,10000000,3757059235.0
2025-08-19,5498,凱崴,27.8,717919203.9,3000000,986243019.0
2025-08-19,5536,聖暉*,754.0,578925846.0,2500000,1058179007.0
2025-08-19,6213,聯茂,129.0,2685486122.7,11000000,1630771319.0
2025-08-19,6274,台燿,348.5,4774387341.2,19000000,10037092439.0
2025-08-19,6919,康霈*,159.5,1853440794.3,7500000,4251372449.0
2025-08-19,8358,金居,184.5,7721341865.1,31000000,10629417236.0
2025-08-20,3305,昇貿,106.5,1291808767.65,5000000,5390438182.0
2025-08-20,6919,康霈*,175.0,2047094270.4,8000000,5851784442.0
2025-08-21,2316,楠梓電,113.0,1871973182.35,7500000,5435210561.0
2025-08-22,1326,台化,30.9,739324154.25,3000000,1669562175.0
2025-08-22,1504,東元,63.8,1425248780.65,5500000,3674410410.0
2025-08-22,2328,,53.2,1194316475.95,5000000,2957723988.0
2025-08-22,2498,宏達電,60.0,1259402833.3,5000000,5093654142.0
2025-08-22,3059,華晶科,51.0,679930122.05,2500000,2834696377.0
2025-08-22,3167,大量,226.5,4977097154.65,20000000,6158766761.0
2025-08-22,3211,順達,347.0,2446927544.85,10000000,1818733434.0
2025-08-22,4931,新盛力,169.0,4753571066.5,19000000,3926612181.0
2025-08-22,5498,凱崴,28.2,865838605.95,3500000,980414862.0
2025-08-25,3708,上緯投控,148.5,527273964.35,2000000,3272817055.0
2025-08-26,1504,東元,74.2,2165128825.85,8500000,9599425506.0
2025-08-26,2233,宇隆,264.5,565529548.25,2500000,1462378417.0
2025-08-26,2328,,59.4,1660589041.95,6500000,3434661907.0
2025-08-26,2359,所羅門,151.5,632332241.95,2500000,1019797930.0
2025-08-26,3032,偉訓,108.0,708335470.4,3000000,549455543.0
2025-08-26,3059,華晶科,52.2,914118008.1,3500000,2538119021.0
2025-08-26,3305,昇貿,102.5,1789517494.4,7000000,3361000185.0
2025-08-26,3376,新日興,239.0,1363529512.55,5500000,2753979597.0
2025-08-26,3450,聯鈞,207.0,1736450862.95,7000000,2407503076.0
2025-08-26,3535,晶彩科,74.3,535157829.0,2000000,3460711184.0
2025-08-26,4749,新應材,734.0,1177190523.0,4500000,4961900588.0
2025-08-26,5371,中光電,113.0,3911985108.15,16000000,6277930691.0
2025-08-26,6438,迅得,189.0,584815457.9,2500000,1080317083.0
2025-08-26,6442,光聖,852.0,2941898947.35,12000000,3926248939.0
2025-08-26,8033,雷虎,146.5,2212899567.25,9000000,3200633135.0
2025-08-26,8234,新漢,111.5,1711217859.6,7000000,522949656.0
2025-08-27,2359,所羅門,166.5,671399331.85,2500000,8682763131.0
2025-08-27,3563,牧德,535.0,585362586.3,2500000,1993840472.0
2025-08-27,8033,雷虎,161.0,2060007587.5,8000000,2009470273.0
2025-08-28,2316,楠梓電,106.0,2478324855.2,10000000,3154488978.0
2025-08-28,2395,研華,354.0,742681719.9,3000000,2511916749.0
2025-08-28,2498,宏達電,64.7,2418425699.2,9500000,6465118011.0
2025-08-28,2634,漢翔,54.6,1224180153.15,5000000,3897103159.0
2025-08-28,3163,波若威,237.0,3248311171.85,13000000,6776637925.0
2025-08-28,3305,昇貿,121.5,2205449189.3,9000000,1202184559.0
2025-08-28,3491,昇達科,394.0,571688699.6,2500000,2714323192.0
2025-08-28,5234,達興材料,375.0,800138478.95,3000000,1049440722.0
2025-08-28,5498,凱崴,25.7,945410902.8,4000000,443920983.0
2025-08-28,5536,聖暉*,826.0,1054435883.0,4000000,1854492683.0
2025-08-28,6191,精成科,119.5,2363337308.9,9500000,4256457649.0
2025-08-28,6274,台燿,332.0,6639287483.45,27000000,8195886517.0
2025-08-28,8033,雷虎,177.0,1925696017.45,7500000,7156145239.0
2025-08-28,8046,南電,205.5,2702675428.2,11000000,5849906881.0
2025-08-29,2634,漢翔,60.0,1358891954.2,5500000,6616390538.0
2025-08-29,4772,台特化,289.0,1474554065.95,6000000,4497284568.0
2025-08-29,6191,精成科,131.0,2477113452.05,10000000,5688759245.0
2025-08-29,8046,南電,226.0,2848024753.65,11000000,13292425127.0
2025-09-01,2449,京元電子,156.0,5131202005.05,21000000,3163199080.0
2025-09-01,3708,上緯投控,144.0,1064340125.75,4500000,932177372.0
2025-09-01,4971,IET-KY,188.5,811043168.15,3000000,831581294.0
2025-09-01,4977,眾達-KY,120.0,922274103.6,3500000,1304964956.0
2025-09-01,5469,瀚宇博,89.8,577909882.7,2500000,2057247852.0
2025-09-01,6191,精成科,144.0,2611330423.35,10000000,12455683233.0
2025-09-01,6667,信紘科,301.0,637638685.25,2500000,1911897643.0
2025-09-02,3294,英濟,55.3,1318082550.4,5500000,2273792374.0
2025-09-02,5536,聖暉*,981.0,1402267968.65,5500000,5704977273.0
2025-09-03,6919,康霈*,231.5,4787968421.15,19000000,7907968782.0
2025-09-03,8358,金居,215.5,5854548779.55,23000000,19031061624.0
2025-09-04,2634,漢翔,67.1,2733840145.05,11000000,9894567323.0
2025-09-04,3491,昇達科,438.0,864390990.3,3500000,4049931363.0
2025-09-04,4541,晟田,63.2,640074258.95,2500000,1367989743.0
2025-09-04,4968,立積,160.5,682240351.7,2500000,1156163610.0
2025-09-04,5314,世紀*,88.8,1408444245.8,5500000,2563179138.0
2025-09-04,5371,中光電,131.0,5259169640.25,21000000,9082772338.0
2025-09-04,6919,康霈*,254.5,5154925248.3,21000000,13801695682.0
2025-09-04,8028,昇陽半導體,175.0,2198094738.75,9000000,5066519000.0
2025-09-05,1605,華新,23.9,515205048.3,2000000,1035190583.0
2025-09-05,5314,世紀*,97.6,1449177984.2,6000000,3189368230.0
2025-09-05,6753,龍德造船,174.0,764735790.15,3000000,3142517844.0
2025-09-08,2344,華邦電,22.55,1178735585.5,4500000,4992131427.0
2025-09-08,2408,南亞科,53.0,2457654634.35,10000000,8401615241.0
2025-09-08,3059,華晶科,59.1,1391244694.45,5500000,3249806109.0
2025-09-08,3211,順達,402.5,3223059988.1,13000000,5204715470.0
2025-09-08,3535,晶彩科,73.5,737347819.2,3000000,648099815.0
2025-09-08,5234,達興材料,426.5,1150280318.15,4500000,1415943069.0
2025-09-08,5309,系統電,61.1,1784693289.35,7000000,2699794482.0
2025-09-08,5314,世紀*,107.0,1548488468.85,6000000,6273772403.0
2025-09-08,6789,采鈺,298.0,810957859.85,3000000,2945710738.0
2025-09-08,8299,群聯,528.0,1055031538.6,4000000,3172952366.0
2025-09-08,8358,金居,227.5,8185654116.25,33000000,14658839527.0
2025-09-09,3605,宏致,82.5,1039308327.35,4000000,1998401783.0
2025-09-09,3707,漢磊,57.7,559076856.9,2000000,1853086049.0
2025-09-09,3711,日月光投控,171.5,1897009964.7,7500000,7624959530.0
2025-09-09,4977,眾達-KY,127.5,1128262869.45,4500000,4009715015.0
2025-09-09,5314,世紀*,117.5,1799468346.85,7000000,7308699726.0
2025-09-10,1504,東元,79.6,3284254784.65,13000000,13728799063.0
2025-09-10,1815,富喬,67.1,6973715039.35,28000000,3112483463.0
2025-09-10,5289,宜鼎,336.0,538831076.0,2000000,2341362276.0
2025-09-10,5309,系統電,71.2,1877998815.1,7500000,5162771073.0
2025-09-10,5498,凱崴,21.2,729361231.3,3000000,240531500.0
2025-09-10,8021,尖點,99.2,756973254.2,3000000,6307083562.0
2025-09-10,8358,金居,255.5,9059074078.8,36000000,17399594488.0
2025-09-11,1504,東元,87.5,3933638191.85,16000000,7714987003.0
2025-09-11,2208,台船,28.2,557086368.15,2000000,1467104732.0
2025-09-11,2301,光寶科,154.5,2792161938.3,11000000,3198565328.0
2025-09-11,2328,,60.7,2753720955.0,11000000,4372891055.0
2025-09-11,2374,佳能,93.5,3135887271.65,13000000,6065229523.0
2025-09-11,3297,杭特,67.4,586403272.0,2500000,236804751.0
2025-09-11,3323,加百裕,51.3,574556112.5,2500000,1830878500.0
2025-09-11,3715,定穎投控,102.5,4531276148.75,18000000,4926181951.0
2025-09-11,4722,國精化,141.5,666198378.6,2500000,654222525.0
2025-09-11,5371,中光電,131.0,6207573531.9,25000000,5970462746.0
2025-09-11,6753,龍德造船,203.5,1489476437.65,6000000,1889408109.0
2025-09-11,8299,群聯,605.0,1352981455.85,5500000,6555701935.0
2025-09-12,3305,昇貿,144.0,4135945783.7,17000000,3462849176.0
2025-09-12,3323,加百裕,56.4,593186553.05,2500000,2834908997.0
2025-09-15,3707,漢磊,57.2,828442715.7,3500000,1703059292.0
2025-09-16,2408,南亞科,63.1,4359751411.45,17000000,15523049646.0
2025-09-16,3707,漢磊,62.9,897682662.05,3500000,3081373053.0
2025-09-17,2374,佳能,107.0,3755075729.05,15000000,6790573965.0
2025-09-17,4722,國精化,132.0,604327469.65,2500000,721520288.0
2025-09-17,6449,鈺邦,194.0,707981146.9,3000000,959625073.0
2025-09-17,6488,環球晶,449.5,1028691639.85,4000000,8098862968.0
2025-09-17,6739,竹陞科技,729.0,554950937.6,2000000,975033426.0
2025-09-17,8021,尖點,91.9,1545593906.7,6000000,1877911781.0
2025-09-17,8046,南電,196.5,4252002594.4,17000000,3410787352.0
2025-09-18,3707,漢磊,69.9,1390848487.65,5500000,3570622539.0
2025-09-18,6770,力積電,20.4,542393196.3,2000000,3267932783.0
2025-09-19,2337,旺宏,27.05,665074252.9,2500000,2981433724.0
2025-09-19,2344,華邦電,32.3,4963018085.95,20000000,14081142879.0
2025-09-19,3324,雙鴻,897.0,4098173577.1,16000000,15003439561.0
2025-09-19,3535,晶彩科,83.0,1069447233.25,4500000,1431819362.0
2025-09-19,5469,瀚宇博,88.7,1017840742.4,4000000,2086745844.0
2025-09-19,6488,環球晶,490.5,2164524210.45,8500000,10616594813.0
2025-09-19,6770,力積電,22.4,695543476.9,3000000,7110942517.0
2025-09-22,3035,智原,168.5,509568059.2,2000000,3044761416.0
2025-09-22,3450,聯鈞,248.5,2591684146.4,10000000,6183209171.0
2025-09-22,4722,國精化,152.0,582818801.7,2500000,1884369252.0
2025-09-22,4991,環宇-KY,169.0,920028539.15,3500000,3787422260.0
2025-09-22,5469,瀚宇博,97.5,1105051079.3,4500000,3331118773.0
2025-09-22,8046,南電,220.0,4518698677.1,18000000,9998913047.0
2025-09-23,2231,為升,135.5,605806536.9,2500000,478667735.0
2025-09-23,2301,光寶科,185.5,5488835794.4,22000000,11859034478.0
2025-09-23,2630,亞航,61.3,591658992.35,2500000,549133979.0
2025-09-23,3006,晶豪科,80.5,698673362.0,3000000,1258789236.0
2025-09-23,3260,威剛,152.5,1667488365.1,6500000,4094915708.0
2025-09-23,4722,國精化,167.0,658036915.55,2500000,1771949834.0
2025-09-23,5371,中光電,123.5,5765242508.8,23000000,4550039701.0
2025-09-23,5469,瀚宇博,107.0,1257397633.4,5000000,3057307636.0
2025-09-23,6449,鈺邦,209.0,832405894.05,3500000,1968667197.0
2025-09-24,1504,東元,94.0,5080268777.6,20000000,11529738022.0
