日期,代碼,名稱,成交金額
2025-04-10,3036,文曄,197481726.0
2025-04-10,6176,瑞儀,209632504.0
2025-04-10,2439,美律,91654485.0
2025-04-10,2347,聯強,133175823.0
2025-04-10,3702,大聯大,99328289.0
2025-04-10,2630,亞航,45549788.0
2025-04-10,3056,富華新,109184077.0
2025-04-10,4966,譜瑞-KY,395704364.0
2025-04-10,9921,巨大,40059324.0
2025-04-10,1524,耿鼎,60062936.0
2025-04-10,1584,精剛,36363447.0
2025-04-10,9914,美利達,905162811.0
2025-04-10,6451,訊芯-KY,360094390.0
2025-04-10,3059,華晶科,39627761.0
2025-04-10,1476,儒鴻,1414484316.0
2025-04-10,1609,大亞,140550076.0
2025-04-10,2388,威盛,128989656.0
2025-04-10,8383,千附,32671138.0
2025-04-10,3528,安馳,195506279.0
2025-04-10,3374,精材,262419749.0
2025-04-10,6770,力積電,66006984.0
2025-04-10,6290,良維,49872816.0
2025-04-11,2382,廣達,13336955741.0
2025-04-11,2603,長榮,13647487132.0
2025-04-11,3017,奇鋐,6386557030.0
2025-04-11,2383,台光電,4374696543.0
2025-04-11,2609,陽明,4567733906.0
2025-04-11,3231,緯創,5320285265.0
2025-04-11,2059,川湖,3203036155.0
2025-04-11,2618,長榮航,3192813257.0
2025-04-11,3665,貿聯-KY,3032157278.0
2025-04-11,3529,力旺,2452556350.0
2025-04-11,2468,華經,147913449.0
2025-04-11,2615,萬海,1295067076.0
2025-04-11,6415,矽力*-KY,1727035719.0
2025-04-11,3264,欣銓,800483151.0
2025-04-11,6962,奕力-KY,331680772.0
2025-04-11,3147,大綜,560164270.0
2025-04-14,5269,祥碩,2329394850.0
2025-04-14,6415,矽力*-KY,2334122470.0
2025-04-14,2615,萬海,2252276584.0
2025-04-14,8069,元太,1705523681.0
2025-04-14,2429,銘旺科,101709201.0
2025-04-14,2455,全新,1063311942.0
2025-04-14,9958,世紀鋼,803665589.0
2025-04-14,3147,大綜,595462081.0
2025-04-15,3163,波若威,3725174702.0
2025-04-15,4979,華星光,2130311190.0
2025-04-15,3450,聯鈞,4175480252.0
2025-04-15,4931,新盛力,705590394.0
2025-04-15,8096,擎亞,1225194253.0
2025-04-15,4991,環宇-KY,1237678458.0
2025-04-15,8111,立碁,352525499.0
2025-04-15,6148,驊宏資,2517817578.0
2025-04-15,6515,穎崴,948337649.0
2025-04-15,3081,聯亞,1367418933.0
2025-04-15,2468,華經,233953177.0
2025-04-15,6442,光聖,866884845.0
2025-04-15,6558,興能高,698164884.0
2025-04-15,6285,啟碁,684336933.0
2025-04-15,1536,和大,452369420.0
2025-04-15,6227,茂綸,290981222.0
2025-04-15,3323,加百裕,111886162.0
2025-04-15,6438,迅得,744042327.0
2025-04-15,6140,訊達,22803873.0
2025-04-15,4977,眾達-KY,317935944.0
2025-04-15,5388,中磊,479398251.0
2025-04-15,6104,創惟,421900588.0
2025-04-15,6877,鏵友益,122043162.0
2025-04-15,4971,IET-KY,184303947.0
2025-04-15,8155,博智,268354775.0
2025-04-15,6215,和椿,382675603.0
2025-04-15,6890,,382275177.0
2025-04-15,4916,事欣科,230919301.0
2025-04-15,1524,耿鼎,209504150.0
2025-04-16,4541,晟田,1526510138.0
2025-04-16,8222,寶一,1155010950.0
2025-04-16,6148,驊宏資,2194678808.0
2025-04-16,6829,千附精密,1047236210.0
2025-04-16,7402,邑錡,460502969.0
2025-04-16,6140,訊達,82459507.0
2025-04-16,3434,哲固,49815034.0
2025-04-17,6415,矽力*-KY,2466637790.0
2025-04-17,6140,訊達,726588780.0
2025-04-18,2408,南亞科,3853706829.0
2025-04-18,6148,驊宏資,5003374371.0
2025-04-18,6215,和椿,1242905487.0
2025-04-21,2408,南亞科,7784273442.0
2025-04-23,6148,驊宏資,561360370.0
2025-04-23,5439,高技,862233358.0
2025-04-23,2468,華經,865661943.0
2025-04-23,6223,旺矽,952846221.0
2025-04-23,3529,力旺,1253559750.0
2025-04-23,3081,聯亞,548910169.0
2025-04-23,5269,祥碩,1993612835.0
2025-04-23,6515,穎崴,952105291.0
2025-04-23,3147,大綜,2805098733.0
2025-04-23,8028,昇陽半導體,1378025685.0
2025-04-23,6438,迅得,380484598.0
2025-04-23,3563,牧德,355470389.0
2025-04-23,6187,萬潤,407075700.0
2025-04-23,6104,創惟,533055686.0
2025-04-23,4916,事欣科,549175287.0
2025-04-23,4968,立積,510370577.0
2025-04-23,4949,有成精密,226934679.0
2025-04-23,8072,陞泰,272158369.0
2025-04-23,5202,力新,47972366.0
2025-04-24,2468,華經,2387056191.0
2025-04-24,3147,大綜,1937674590.0
2025-04-24,3131,弘塑,859905231.0
2025-04-24,8072,陞泰,375052979.0
2025-04-24,4949,有成精密,1367441517.0
2025-04-24,5202,力新,199586503.0
2025-04-25,2383,台光電,4480864817.0
2025-04-25,3529,力旺,2382492390.0
2025-04-25,3653,健策,1665781717.0
2025-04-25,6805,富世達,1499296721.0
2025-04-25,3147,大綜,448632808.0
2025-04-25,6104,創惟,1409603915.0
2025-04-25,3434,哲固,204939921.0
2025-04-25,4949,有成精密,468493900.0
2025-04-25,8072,陞泰,1808252337.0
2025-04-25,3528,安馳,1351276371.0
2025-04-25,5202,力新,295254024.0
2025-04-28,6148,驊宏資,3608197588.0
2025-04-28,2468,華經,2111062941.0
2025-04-28,3528,安馳,1761823170.0
2025-04-28,3105,穩懋,756842410.0
2025-04-28,3363,上詮,901684859.0
