date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2026-01-06,4130,健亞,30.4,16042581,1000000,166062383,-
2026-01-06,6207,雷科,54.6,14888018,1000000,226716464,-
2026-01-06,3321,同泰,20.45,12754908,1000000,86508991,-
2026-01-06,2460,建通,24.3,10246271,1000000,71805428,-
2026-01-06,2461,光群雷,16.9,9308930,1000000,48293048,-
2026-01-06,8105,凌巨,12.45,9128920,1000000,66203894,-
2026-01-06,6909,創控,43.2,7999585,1000000,28543467,-
2026-01-06,4720,德淵,18.25,6698246,1000000,47177441,-
2026-01-06,6861,睿生光電,66.3,5111046,1000000,42489195,-
2026-01-06,6461,益得,21.5,3349095,1000000,64649955,-
2026-01-06,6270,倍微,24.75,2888066,1000000,68963600,-
2026-01-06,6124,業強,30.9,2539045,1000000,10988202,-
2026-01-06,3623,,28.6,2222770,1000000,17129675,-
2026-01-06,5291,邑昇,31.0,1964735,1000000,50117343,-
2026-01-06,5228,鈺鎧,21.35,1765716,1000000,24161994,-
2026-01-06,1725,元禎,29.9,1499231,1000000,15124792,-
2026-01-06,5245,智晶,25.7,887716,1000000,16456440,-
2026-01-06,1324,地球,11.55,434035,1000000,5707280,-
2026-01-06,1742,台蠟,16.4,384244,1000000,8403112,-
2026-01-07,6415,矽力*-KY,206.5,483857483,2000000,1383044515,-
2026-01-07,1717,長興,50.7,392797904,1500000,4137211057,-
2026-01-07,2349,錸德,14.7,229837217,1000000,270326890,-
2026-01-07,3532,台勝科,108.5,164026743,1000000,911962082,-
2026-01-07,4961,天鈺,148.5,144911660,1000000,335427687,-
2026-01-07,3693,營邦,294.5,139881550,1000000,344816326,-
2026-01-07,3530,晶相光,78.1,93666647,1000000,228698049,-
2026-01-07,6120,達運,13.5,68762167,1000000,199560266,-
2026-01-07,2489,瑞軒,17.3,48678674,1000000,485825619,-
2026-01-07,2342,茂矽,32.9,45066430,1000000,252629067,-
2026-01-07,8374,羅昇,88.2,43554564,1000000,172349937,-
2026-01-07,3630,新鉅科,29.55,25934127,1000000,49292154,-
2026-01-07,4562,穎漢,38.25,24252557,1000000,90771536,-
2026-01-07,4934,太極,14.6,14488826,1000000,30187800,-
2026-01-07,5484,慧友,41.4,12543101,1000000,30690219,-
2026-01-07,8105,凌巨,13.65,11856789,1000000,170217292,-
2026-01-07,1789,神隆,18.8,10144166,1000000,16524121,-
2026-01-07,8215,明基材,20.2,9319198,1000000,59653347,-
2026-01-07,3051,力特,19.9,7820243,1000000,21893878,-
2026-01-07,3669,,35.2,6066597,1000000,7088803,-
2026-01-07,6113,亞矽,21.9,5417264,1000000,17364803,-
2026-01-07,1713,國化,49.1,5084622,1000000,221753414,-
2026-01-07,2305,全友,11.8,4725481,1000000,17953307,-
2026-01-07,5291,邑昇,34.1,4204835,1000000,94816310,-
2026-01-07,6167,,12.15,2583700,1000000,13987247,-
2026-01-07,5245,智晶,28.25,1603121,1000000,31811009,-
2026-01-07,5220,,19.45,295204,1000000,20621802,-
2026-01-08,2495,普安,33.3,397241432,1500000,804067689,-
2026-01-08,6244,茂迪,22.1,338559810,1500000,282168257,-
2026-01-08,5521,工信,23.9,328537319,1500000,235199340,-
2026-01-08,2369,菱生,26.65,264405846,1000000,852099475,-
2026-01-08,2349,錸德,16.15,231562848,1000000,379967072,-
2026-01-08,3532,台勝科,119.0,200456746,1000000,1884042579,-
2026-01-08,3025,星通,70.9,163946064,1000000,163554531,-
2026-01-08,6485,點序,102.0,163605690,1000000,495338612,-
